,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
53,BSA,100,2,0.45,0.0,546.4185788291563,18540,5.210000038146973,False,51,100,0.2
54,MOEA-QR-BSA,100,2,0.45,0.0,34.75041577403059,19206,5.2170000076293945,False,51,100,0.2
55,BSA,100,2,0.45,0.0,34.75041577403059,19206,5.196000099182129,False,51,100,0.2
56,MOEA-QR-BSA,100,2,0.45,0.0,30.922532209166167,19554,5.181000232696533,False,51,100,0.2
57,BSA,100,2,0.45,0.0,30.922532209166167,19554,5.160999774932861,False,51,100,0.2
58,MOEA-QR-BSA,100,2,0.45,0.0,980.1549165914655,19217,5.170000076293945,False,51,100,0.2
59,BSA,100,2,0.45,0.0,980.1549165914655,19217,5.169000148773193,False,51,100,0.2
60,MOEA-QR-BSA,100,2,0.1,1.0,759.0416183870176,21141,5.270999908447266,False,51,100,0.2
61,BSA,100,2,0.1,1.0,759.0416183870176,21141,5.261000156402588,False,51,100,0.2
62,MOEA-QR-BSA,100,2,0.1,1.0,438.41401462320727,20424,5.3420000076293945,False,51,100,0.2
63,BSA,100,2,0.1,1.0,438.41401462320727,20424,5.208000183105469,False,51,100,0.2
64,MOEA-QR-BSA,100,2,0.1,1.0,450.57238682728206,21420,5.196000099182129,False,51,100,0.2
65,BSA,100,2,0.1,1.0,450.57238682728206,21420,5.209000110626221,False,51,100,0.2
66,MOEA-QR-BSA,100,2,0.1,1.0,83.40364856713971,21450,5.230999946594238,False,51,100,0.2
67,BSA,100,2,0.1,1.0,83.40364856713971,21450,5.248000144958496,False,51,100,0.2
68,MOEA-QR-BSA,100,2,0.1,1.0,183.8722702158536,20184,5.197999954223633,False,51,100,0.2
69,BSA,100,2,0.1,1.0,183.8722702158536,20184,5.196000099182129,False,51,100,0.2
70,MOEA-QR-BSA,100,2,0.1,1.0,446.08349385386384,20634,5.184999942779541,False,51,100,0.2
71,BSA,100,2,0.1,1.0,446.08349385386384,20634,5.188000202178955,False,51,100,0.2
72,MOEA-QR-BSA,100,2,0.1,1.0,204.25331359389946,19923,5.204999923706055,False,51,100,0.2
73,BSA,100,2,0.1,1.0,204.25331359389946,19923,5.204999923706055,False,51,100,0.2
74,MOEA-QR-BSA,100,2,0.1,1.0,126.40990706489492,20370,5.165999889373779,False,51,100,0.2
75,BSA,100,2,0.1,1.0,126.40990706489492,20370,5.209000110626221,False,51,100,0.2
76,MOEA-QR-BSA,100,2,0.1,1.0,431.7495452590091,20382,5.201000213623047,False,51,100,0.2
77,BSA,100,2,0.1,1.0,431.7495452590091,20382,5.182000160217285,False,51,100,0.2
78,MOEA-QR-BSA,100,2,0.1,1.0,190.53683338595488,20469,5.202000141143799,False,51,100,0.2
79,BSA,100,2,0.1,1.0,190.53683338595488,20469,5.199999809265137,False,51,100,0.2
80,MOEA-QR-BSA,100,2,0.3,1.0,471.2091486988415,20652,5.168000221252441,False,51,100,0.2
81,BSA,100,2,0.3,1.0,471.2091486988415,20652,5.205999851226807,False,51,100,0.2
82,MOEA-QR-BSA,100,2,0.3,1.0,570.4193809847101,19955,5.1479997634887695,False,51,100,0.2
83,BSA,100,2,0.3,1.0,570.4193809847101,19955,5.168000221252441,False,51,100,0.2
84,MOEA-QR-BSA,100,2,0.3,1.0,53.39613802178615,21453,5.190000057220459,False,51,100,0.2
85,BSA,100,2,0.3,1.0,53.39613802178615,21453,5.1570000648498535,False,51,100,0.2
86,MOEA-QR-BSA,100,2,0.3,1.0,707.0230326114744,20718,5.309000015258789,False,51,100,0.2
87,BSA,100,2,0.3,1.0,707.0230326114744,20718,5.204999923706055,False,51,100,0.2
88,MOEA-QR-BSA,100,2,0.3,1.0,250.505443388768,21456,5.201000213623047,False,51,100,0.2
89,BSA,100,2,0.3,1.0,250.505443388768,21456,5.228000164031982,False,51,100,0.2
90,MOEA-QR-BSA,100,2,0.3,1.0,406.9809404322337,21342,5.201000213623047,False,51,100,0.2
91,BSA,100,2,0.3,1.0,406.9809404322337,21342,5.2170000076293945,False,51,100,0.2
92,MOEA-QR-BSA,100,2,0.3,1.0,278.45641190420315,19449,5.185999870300293,False,51,100,0.2
93,BSA,100,2,0.3,1.0,278.45641190420315,19449,5.196000099182129,False,51,100,0.2
94,MOEA-QR-BSA,100,2,0.3,1.0,115.2403366238865,20922,5.142000198364258,False,51,100,0.2
95,BSA,100,2,0.3,1.0,115.2403366238865,20922,5.172999858856201,False,51,100,0.2
96,MOEA-QR-BSA,100,2,0.3,1.0,616.5448518070486,21474,5.1529998779296875,False,51,100,0.2
97,BSA,100,2,0.3,1.0,616.5448518070486,21474,5.191999912261963,False,51,100,0.2
98,MOEA-QR-BSA,100,2,0.3,1.0,621.676204386172,20709,5.276000022888184,False,51,100,0.2
99,BSA,100,2,0.3,1.0,621.676204386172,20709,5.236999988555908,False,51,100,0.2
100,MOEA-QR-BSA,100,2,0.45,1.0,755.2486970976261,20166,5.2129998207092285,False,51,100,0.2
101,BSA,100,2,0.45,1.0,755.2486970976261,20166,5.235000133514404,False,51,100,0.2
102,MOEA-QR-BSA,100,2,0.45,1.0,200.0782576465421,20157,5.177000045776367,False,51,100,0.2
103,BSA,100,2,0.45,1.0,200.0782576465421,20157,5.182000160217285,False,51,100,0.2
104,MOEA-QR-BSA,100,2,0.45,1.0,260.88818473076515,20217,5.182000160217285,False,51,100,0.2
105,BSA,100,2,0.45,1.0,260.88818473076515,20217,5.184999942779541,False,51,100,0.2
106,MOEA-QR-BSA,100,2,0.45,1.0,42.693542136649256,19209,5.302999973297119,False,51,100,0.2
107,BSA,100,2,0.45,1.0,42.693542136649256,19209,5.195000171661377,False,51,100,0.2
108,MOEA-QR-BSA,100,2,0.45,1.0,626.578948952152,21759,5.309000015258789,False,51,100,0.2
109,BSA,100,2,0.45,1.0,626.578948952152,21759,5.353000164031982,False,51,100,0.2
110,MOEA-QR-BSA,100,2,0.45,1.0,1137.4049992169998,20433,5.275000095367432,False,51,100,0.2
