,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
60,BAB,30,2,0.3,0.0,84.61297259175004,72929,0.14100000262260437,True,17,100,0.2
61,MOEA-QR-BAB,30,2,0.3,0.0,84.61297259175004,1019575,1.156999945640564,True,17,100,0.2
62,MOEA-QR-BSA,30,2,0.3,0.0,84.61297259175002,15715,1.4930000305175781,True,17,100,0.2
63,BSA,30,2,0.3,0.0,84.61297259175002,15715,1.4919999837875366,True,17,100,0.2
64,BAB,30,2,0.3,0.0,105.89967880130018,436728,0.722000002861023,True,17,100,0.2
65,MOEA-QR-BAB,30,2,0.3,0.0,105.89967880130018,1391724,1.8509999513626099,True,17,100,0.2
66,MOEA-QR-BSA,30,2,0.3,0.0,105.89967880130015,14077,1.531000018119812,True,17,100,0.2
67,BSA,30,2,0.3,0.0,105.89967880130015,14077,1.4869999885559082,True,17,100,0.2
68,BAB,30,2,0.3,0.0,117.15501200231036,172793,0.26600000262260437,True,17,100,0.2
69,MOEA-QR-BAB,30,2,0.3,0.0,117.15501200231036,815437,0.9729999899864197,True,17,100,0.2
70,MOEA-QR-BSA,30,2,0.3,0.0,122.35252458491065,15547,1.4919999837875366,True,17,100,0.2
71,BSA,30,2,0.3,0.0,122.35252458491065,15547,1.5,True,17,100,0.2
72,BAB,30,2,0.3,0.0,36.068692848815246,181676,0.35600000619888306,True,17,100,0.2
73,MOEA-QR-BAB,30,2,0.3,0.0,36.068692848815246,1616161,2.1760001182556152,True,17,100,0.2
74,MOEA-QR-BSA,30,2,0.3,0.0,36.06869284881525,18571,1.5119999647140503,True,17,100,0.2
75,BSA,30,2,0.3,0.0,36.06869284881525,18571,1.5080000162124634,True,17,100,0.2
76,BAB,30,2,0.3,0.0,121.59713003509205,193691,0.3440000116825104,True,17,100,0.2
77,MOEA-QR-BAB,30,2,0.3,0.0,121.59713003509205,765163,0.8640000224113464,True,17,100,0.2
78,MOEA-QR-BSA,30,2,0.3,0.0,121.59713003509201,16408,1.4910000562667847,True,17,100,0.2
79,BSA,30,2,0.3,0.0,121.59713003509201,16408,1.4910000562667847,True,17,100,0.2
80,BAB,30,2,0.45,0.0,646.3446278413488,291859,0.4690000116825104,True,17,100,0.2
81,MOEA-QR-BAB,30,2,0.45,0.0,646.3446278413488,720897,0.7310000061988831,True,17,100,0.2
82,MOEA-QR-BSA,30,2,0.45,0.0,646.3446278413487,13692,1.4789999723434448,True,17,100,0.2
83,BSA,30,2,0.45,0.0,646.3446278413487,13692,1.4819999933242798,True,17,100,0.2
84,BAB,30,2,0.45,0.0,291.3497711438879,33522,0.0820000022649765,True,17,100,0.2
85,MOEA-QR-BAB,30,2,0.45,0.0,291.3497711438879,720844,0.7319999933242798,True,17,100,0.2
86,MOEA-QR-BSA,30,2,0.45,0.0,291.3497711438878,18571,1.4919999837875366,True,17,100,0.2
87,BSA,30,2,0.45,0.0,291.3497711438878,18571,1.4910000562667847,True,17,100,0.2
88,BAB,30,2,0.45,0.0,104.51233803936202,53181,0.08799999952316284,True,17,100,0.2
89,MOEA-QR-BAB,30,2,0.45,0.0,104.51233803936202,721734,0.7319999933242798,True,17,100,0.2
90,MOEA-QR-BSA,30,2,0.45,0.0,104.51233803936195,16716,1.4839999675750732,True,17,100,0.2
91,BSA,30,2,0.45,0.0,104.51233803936195,16716,1.4830000400543213,True,17,100,0.2
92,BAB,30,2,0.45,0.0,483.2495122702238,29301,0.04899999871850014,True,17,100,0.2
93,MOEA-QR-BAB,30,2,0.45,0.0,483.2495122702238,1078917,1.1699999570846558,True,17,100,0.2
94,MOEA-QR-BSA,30,2,0.45,0.0,483.2495122702239,16709,1.4880000352859497,True,17,100,0.2
95,BSA,30,2,0.45,0.0,483.2495122702239,16709,1.4919999837875366,True,17,100,0.2
96,BAB,30,2,0.45,0.0,498.38885577291904,36399,0.07000000029802322,True,17,100,0.2
97,MOEA-QR-BAB,30,2,0.45,0.0,498.38885577291904,966633,1.0119999647140503,True,17,100,0.2
