,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
54,EXACT,25,3,0.1,0.0,79.04369905443187,0,11.211000442504883,True,15,100,0.2
55,BAB,25,3,0.1,0.0,5.86648000514651,16644,0.032999999821186066,True,15,100,0.2
56,MOEA-QR-BAB,25,3,0.1,0.0,5.86648000514651,154492,0.2199999988079071,True,15,100,0.2
57,MOEA-QR-BSA,25,3,0.1,0.0,5.866480005146496,87885,8.88599967956543,True,15,100,0.2
58,BSA,25,3,0.1,0.0,5.866480005146496,87885,9.026000022888184,True,15,100,0.2
59,EXACT,25,3,0.1,0.0,5.866480005146513,0,11.359999656677246,True,15,100,0.2
60,BAB,25,3,0.1,0.0,241.34793742609247,43966,0.08399999886751175,True,15,100,0.2
61,MOEA-QR-BAB,25,3,0.1,0.0,241.34793742609247,180781,0.32199999690055847,True,15,100,0.2
62,MOEA-QR-BSA,25,3,0.1,0.0,241.3479374260918,71685,9.036999702453613,True,15,100,0.2
63,BSA,25,3,0.1,0.0,241.3479374260918,71685,9.032999992370605,True,15,100,0.2
64,EXACT,25,3,0.1,0.0,241.34793742609207,0,11.321999549865723,True,15,100,0.2
65,BAB,25,3,0.1,0.0,46.60489151951709,21787,0.06800000369548798,True,15,100,0.2
66,MOEA-QR-BAB,25,3,0.1,0.0,46.60489151951709,168239,0.2370000034570694,True,15,100,0.2
67,MOEA-QR-BSA,25,3,0.1,0.0,46.60489151951709,111975,9.095999717712402,True,15,100,0.2
68,BSA,25,3,0.1,0.0,46.60489151951709,111975,9.152000427246094,True,15,100,0.2
69,EXACT,25,3,0.1,0.0,46.6048915195171,0,11.27299976348877,True,15,100,0.2
70,BAB,25,3,0.1,0.0,96.33752727233718,17499,0.054999999701976776,True,15,100,0.2
71,MOEA-QR-BAB,25,3,0.1,0.0,96.33752727233718,223477,0.3190000057220459,True,15,100,0.2
72,MOEA-QR-BSA,25,3,0.1,0.0,96.33752727233714,62640,8.835000038146973,True,15,100,0.2
73,BSA,25,3,0.1,0.0,96.33752727233714,62640,8.809000015258789,True,15,100,0.2
74,EXACT,25,3,0.1,0.0,96.33752727233717,0,11.211999893188477,True,15,100,0.2
75,BAB,25,3,0.1,0.0,54.42687945865338,23332,0.05000000074505806,True,15,100,0.2
76,MOEA-QR-BAB,25,3,0.1,0.0,54.42687945865338,181199,0.26499998569488525,True,15,100,0.2
77,MOEA-QR-BSA,25,3,0.1,0.0,54.42687945865338,69885,8.885000228881836,True,15,100,0.2
78,BSA,25,3,0.1,0.0,54.42687945865338,69885,8.911999702453613,True,15,100,0.2
79,EXACT,25,3,0.1,0.0,54.426879458653374,0,11.246999740600586,True,15,100,0.2
80,BAB,25,3,0.1,0.0,2.6542620386438305,34741,0.09700000286102295,True,15,100,0.2
81,MOEA-QR-BAB,25,3,0.1,0.0,2.6542620386438305,155371,0.23100000619888306,True,15,100,0.2
82,MOEA-QR-BSA,25,3,0.1,0.0,2.6542620386438305,84675,8.958000183105469,True,15,100,0.2
83,BSA,25,3,0.1,0.0,2.6542620386438305,84675,8.928000450134277,True,15,100,0.2
84,EXACT,25,3,0.1,0.0,2.654262038643828,0,11.26200008392334,True,15,100,0.2
85,BAB,25,3,0.1,0.0,17.699926141909337,15154,0.029999999329447746,True,15,100,0.2
86,MOEA-QR-BAB,25,3,0.1,0.0,17.699926141909337,166525,0.24799999594688416,True,15,100,0.2
87,MOEA-QR-BSA,25,3,0.1,0.0,17.69992614190933,107070,8.91100025177002,True,15,100,0.2
88,BSA,25,3,0.1,0.0,17.69992614190933,107070,8.949000358581543,True,15,100,0.2
89,EXACT,25,3,0.1,0.0,17.699926141909312,0,11.269000053405762,True,15,100,0.2
90,BAB,25,3,0.1,0.0,125.7400726169087,14537,0.032999999821186066,True,15,100,0.2
91,MOEA-QR-BAB,25,3,0.1,0.0,125.7400726169087,146214,0.25,True,15,100,0.2
92,MOEA-QR-BSA,25,3,0.1,0.0,125.74007261690875,109920,9.10200023651123,True,15,100,0.2
93,BSA,25,3,0.1,0.0,125.74007261690875,109920,9.152000427246094,True,15,100,0.2
94,EXACT,25,3,0.1,0.0,125.74007261690878,0,12.196999549865723,True,15,100,0.2
95,BAB,25,3,0.1,0.0,5.616476489215419,36278,0.08100000023841858,True,15,100,0.2
96,MOEA-QR-BAB,25,3,0.1,0.0,5.616476489215419,120737,0.17000000178813934,True,15,100,0.2
97,MOEA-QR-BSA,25,3,0.1,0.0,5.616476489215416,104565,9.807999610900879,True,15,100,0.2
98,BSA,25,3,0.1,0.0,5.616476489215416,104565,9.833000183105469,True,15,100,0.2
99,EXACT,25,3,0.1,0.0,5.616476489215415,0,12.638999938964844,True,15,100,0.2
100,BAB,25,3,0.1,0.0,43.36712611410747,49421,0.11900000274181366,True,15,100,0.2
101,MOEA-QR-BAB,25,3,0.1,0.0,43.36712611410747,124105,0.1850000023841858,True,15,100,0.2
102,MOEA-QR-BSA,25,3,0.1,0.0,43.367126114107435,105795,10.098999977111816,True,15,100,0.2
103,BSA,25,3,0.1,0.0,43.367126114107435,105795,9.822999954223633,True,15,100,0.2
104,EXACT,25,3,0.1,0.0,43.36712611410747,0,12.402999877929688,True,15,100,0.2
105,BAB,25,3,0.1,0.0,4.352417606534023,39894,0.08799999952316284,True,15,100,0.2
106,MOEA-QR-BAB,25,3,0.1,0.0,4.352417606534023,157675,0.22499999403953552,True,15,100,0.2
107,MOEA-QR-BSA,25,3,0.1,0.0,4.352417606534012,83055,9.845999717712402,True,15,100,0.2
108,BSA,25,3,0.1,0.0,4.352417606534012,83055,9.88700008392334,True,15,100,0.2
109,EXACT,25,3,0.1,0.0,4.352417606534026,0,12.527999877929688,True,15,100,0.2
110,BAB,25,3,0.1,0.0,44.03102573243273,33144,0.07699999958276749,True,15,100,0.2
