,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,max_steps,leverage_ratio
1285,FAST-LTS,1000,10,0.45,0.4,9496.188258473743,12,0.2972460025921464,0.9997333047541097,0.4537737502915555,0.4597125433749185,False,True,506,100,0.2
1286,MOEA-I,1000,10,0.45,0.4,173903.33233127446,100,0.3621770143508911,0.9963855635854499,2.3483927804647693,2.364313747261772,False,True,506,100,0.2
1287,MOEA-QR,1000,10,0.45,0.4,223177.24217240507,100,2.0423810482025146,0.9971065051708756,3.9813300976604564,3.9886902327871363,False,True,506,100,0.2
1288,MMEA-I,1000,10,0.45,0.4,234853.806655682,100,0.21290099620819092,0.996116652318203,6.185460501638299,6.192448827282488,False,True,506,100,0.2
1289,MMEA-QR,1000,10,0.45,0.4,211255.71180051635,100,0.7809540033340454,0.9986454708591838,6.7243133464959435,6.726691398840733,False,True,506,100,0.2
1290,FAST-LTS,1000,10,0.45,0.4,8785.400512299038,10,0.28989000292494893,0.9997721456459958,0.02368873753101247,0.072064594348075,False,True,506,100,0.2
1291,MOEA-I,1000,10,0.45,0.4,270319.7655290697,100,0.366023987531662,0.9839372168750029,3.4042365401552286,3.455530899645292,False,True,506,100,0.2
1292,MOEA-QR,1000,10,0.45,0.4,277646.8958230729,100,2.084839105606079,0.9844371395230852,5.129592280169494,5.162192544816999,False,True,506,100,0.2
1293,MMEA-I,1000,10,0.45,0.4,304436.70476649696,100,0.21528300642967224,0.9890369892168326,5.80199515998691,5.825624891135265,False,True,506,100,0.2
1294,MMEA-QR,1000,10,0.45,0.4,221431.6683534418,100,0.7797690033912659,0.9884482861899936,5.401184988051272,5.427798074906163,False,True,506,100,0.2
1295,FAST-LTS,1000,10,0.45,0.4,23048.4650676187,19,0.2930699987336993,0.9994590855731392,0.2541752888291784,0.27513609455639104,False,True,506,100,0.2
1296,MOEA-I,1000,10,0.45,0.4,394626.853075934,100,0.35107800364494324,0.9964893415472343,10.861845378111786,10.866267948460536,False,True,506,100,0.2
1297,MOEA-QR,1000,10,0.45,0.4,378370.61178946216,100,2.029438018798828,0.9968421335931423,10.312713800211835,10.316542414691598,False,True,506,100,0.2
1298,MMEA-I,1000,10,0.45,0.4,384024.83874797565,100,0.21554900705814362,0.9951412366250448,8.297154090912436,8.304184219621083,False,True,506,100,0.2
1299,MMEA-QR,1000,10,0.45,0.4,377429.88376944896,100,0.7871760129928589,0.9942239119128081,12.260160333624972,12.265587332744374,False,True,506,100,0.2
