,implementation,n,p,rss,iter,time,cos_ols,intercept
0,ltsCpp,100,2,9.100408742304113,10,0.009552999938023277,0.9999908024629145,True
1,ltsCpp,100,3,7.7871401262865225,6,0.013164999458240345,0.9996123850595224,True
2,ltsCpp,100,5,5.372991116677202,12,0.012348000251222402,0.9999239711001776,True
3,ltsCpp,500,2,39.61987316688909,8,0.03276600013487041,0.9999915792239541,True
4,ltsCpp,500,3,34.30427386987594,4,0.03310799936298281,0.9999390405358182,True
5,ltsCpp,500,5,31.159205968161928,9,0.04388499888591468,0.9999547744184195,True
6,ltsCpp,1000,2,69.2315812855662,14,0.05724100023508072,0.9999497363977919,True
7,ltsCpp,1000,5,71.15640135527508,17,0.07387399929575622,0.9999712812046191,True
8,ltsCpp,1000,10,75.64314318651,21,0.11439800076186657,0.9999778216976555,True
9,ltsCpp,10000,2,734.970932950956,14,0.6038250029087067,0.9999840882031698,True
10,ltsCpp,10000,5,685.4346882444906,52,0.8023110032081604,0.9999882677202301,True
11,ltsCpp,10000,10,686.8633604775151,21,1.2240249961614609,0.9999956657350955,True
12,ltsCpp,50000,2,3618.8113461270536,39,3.9266260266304016,0.9999997544245781,True
13,ltsCpp,50000,5,3470.0053493859014,23,4.513565003871918,0.9999997619240042,True
14,ltsCpp,50000,10,3562.112008377462,48,8.28437328338623,0.9999991544573946,True
15,ltsCpp,100000,5,6990.542056443602,50,12.02370572090149,0.9999994411788021,True
16,ltsCpp,100000,10,7103.196491177829,52,19.97951364517212,0.9999991604249017,True
17,ltsCpp,500000,5,35591.00868905222,47,78.28263092041016,0.9999999204269131,True
18,ltsCpp,500000,10,35615.87159098717,52,153.17899703979492,0.9999997977124482,True
19,ltsCpp,1000000,5,71299.68101739502,52,189.38538360595703,0.9999999710196875,True
20,ltsCpp,1000000,10,71395.75353150573,52,347.96900939941406,0.9999999602146856,True
21,ltsCpp,2500000,5,178360.3749963856,52,486.27437591552734,0.9999999811185899,True
22,ltsCpp,2500000,10,178705.8378200077,52,893.4870758056641,0.99999999031788,True
23,ltsCpp,3000000,2,213775.30361768862,52,429.0756072998047,0.9999999925997584,True
24,ltsCpp,3000000,3,213539.35175429354,52,464.3495635986328,0.999999995635344,True


