algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
MOEA-QR-BAB,15,5,0.1,0.0,18.108763179972247,751,0.0018769999733194707,True,10,100,0.2
BAB,15,5,0.1,0.0,18.108763179972247,1218,0.0024580000899732113,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,18.61411932751441,11501,2.3577380180358887,True,10,100,0.2
BSA,15,5,0.1,0.0,18.61411932751441,11501,2.3606820106506348,True,10,100,0.2
EXACT,15,5,0.1,0.0,18.108763179972254,0,0.007841000333428383,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,2.1476775322764,988,0.002971000038087368,True,10,100,0.2
BAB,15,5,0.1,0.0,2.1476775322764,1213,0.00254400004632771,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,2.1476775322763846,10509,2.588794946670532,True,10,100,0.2
BSA,15,5,0.1,0.0,2.1476775322763846,10509,2.6050128936767583,True,10,100,0.2
EXACT,15,5,0.1,0.0,2.1476775322764,0,0.007809000089764595,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,16.07147904672716,552,0.0015069999499246476,True,10,100,0.2
BAB,15,5,0.1,0.0,16.07147904672716,1268,0.0026489999145269394,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,16.07147904672713,6541,3.268352031707764,True,10,100,0.2
BSA,15,5,0.1,0.0,16.07147904672713,6541,2.9440279006958012,True,10,100,0.2
EXACT,15,5,0.1,0.0,16.071479046727177,0,0.007218999788165091,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,5.6439976021560625,662,0.0017160000279545786,True,10,100,0.2
BAB,15,5,0.1,0.0,5.6439976021560625,1232,0.002240000059828162,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,5.643997602156031,24366,2.4127039909362797,True,10,100,0.2
BSA,15,5,0.1,0.0,5.643997602156031,24366,2.650377988815308,True,10,100,0.2
EXACT,15,5,0.1,0.0,5.643997602156061,0,0.0075289998203516015,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,22.630325925617388,670,0.001610000035725534,True,10,100,0.2
BAB,15,5,0.1,0.0,22.630325925617388,1302,0.0024210000410676003,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,22.63032592561741,13051,2.6169569492340092,True,10,100,0.2
BSA,15,5,0.1,0.0,22.63032592561741,13051,2.4630489349365234,True,10,100,0.2
EXACT,15,5,0.1,0.0,22.630325925617427,0,0.008239000104367733,True,10,100,0.2
MOEA-QR-BAB,15,5,0.1,0.0,0.9522642721337904,775,0.0023920000530779357,True,10,100,0.2
BAB,15,5,0.1,0.0,0.9522642721337904,1216,0.0024610001128166914,True,10,100,0.2
MOEA-QR-BSA,15,5,0.1,0.0,0.9522642721337854,9858,2.193737030029297,True,10,100,0.2
BSA,15,5,0.1,0.0,0.9522642721337854,9858,2.2333381175994877,True,10,100,0.2
