,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio,tmp2,tmp4,tmp5,tmp6,tmp7,tmp8
62,FAST-LTS-MOEA-QR,100,4,0.1,0.0,62.35450348346963,12,0.3142000138759613,0.9988457275883508,0.27473549735541897,0.28750014997935996,False,True,52,50,0.2,17,25,18,6.599999999999998,25,11.060000000000002
63,MMEA-QR,100,4,0.1,0.0,62.35450348346964,32,0.11875399947166446,0.9988457275883508,0.2747354973554189,0.28750014997935985,False,True,52,50,0.2,16,24,16,16.0,24,7.6
64,MOEA-QR,100,4,0.1,0.0,62.35450348346959,30,0.30438899993896484,0.9988457275883508,0.2747354973554189,0.28750014997935963,False,True,52,50,0.2,15,23,15,15.0,23,7.5
65,FAST-LTS,100,4,0.1,0.0,145.8301527366323,5,0.0011389999999664724,0.9969676218460466,0.2697821018321349,0.3171484322931953,False,True,52,50,0.2,3,4,3,2.5,4,-0.25
66,FAST-LTS-MMEA-QR,100,4,0.1,0.0,134.06344411841695,8,0.11268000304698945,0.9989509021612076,1.5544633745474543,1.5565491111512515,False,True,52,50,0.2,6,21,8,4.0,21,8.4
67,FAST-LTS-MOEA-QR,100,4,0.1,0.0,134.06344411841692,2,0.2704069912433624,0.9989509021612074,1.5544633745474552,1.5565491111512526,False,True,52,50,0.2,13,20,13,5.199999999999999,20,1.3200000000000003
68,MMEA-QR,100,4,0.1,0.0,134.06344411841695,30,0.11661700159311295,0.9989509021612076,1.5544633745474552,1.5565491111512526,False,True,52,50,0.2,15,23,15,15.0,23,2.5
69,MOEA-QR,100,4,0.1,0.0,134.06344411841695,21,0.28786399960517883,0.9989509021612076,1.5544633745474534,1.5565491111512508,False,True,52,50,0.2,11,16,12,10.5,16,2.549999999999999
70,FAST-LTS,100,4,0.1,0.0,99.92770169934496,7,0.001161999971373007,0.9988136012925088,1.093598193584283,1.0995674606653791,False,True,52,50,0.2,4,6,5,3.5,6,-0.1499999999999999
71,FAST-LTS-MMEA-QR,100,4,0.1,0.0,96.60459229921123,10,0.11898499727249146,0.9996472498763744,1.3193039303572656,1.322007212921646,False,True,52,50,0.2,6,21,10,5.0,21,14.5
