idx,cnt,rss,step
0,38.0,17033.262118684845,0.0
1,38.0,8401.091202175485,1.0
2,38.0,4864.227467101163,2.0
3,38.0,3749.2930247203226,3.0
4,38.0,2614.7913031307785,4.0
5,38.0,2190.9075235966534,5.0
6,38.0,2043.6482412667374,6.0
7,38.0,1981.079377009432,7.0
8,38.0,1970.400733130564,8.0
9,38.0,1970.400733130564,9.0
0,39.0,7929.631946254448,0.0
1,39.0,3950.8277200656485,1.0
2,39.0,2915.973500955201,2.0
3,39.0,2153.1705774977668,3.0
4,39.0,2039.4389337761372,4.0
5,39.0,1954.436976565514,5.0
6,39.0,1899.9393078937942,6.0
7,39.0,1899.9393078937937,7.0
0,40.0,7952.871985115486,0.0
1,40.0,4203.161965456637,1.0
2,40.0,3492.8615574631995,2.0
3,40.0,3426.5089204794203,3.0
4,40.0,3157.4336867307225,4.0
5,40.0,2501.32806466502,5.0
6,40.0,2298.464137931871,6.0
7,40.0,2205.4716497024147,7.0
8,40.0,2144.7230933870624,8.0
9,40.0,2102.488265675802,9.0
10,40.0,2102.4882656758014,10.0
0,41.0,6544.697325478866,0.0
1,41.0,3444.2412400653993,1.0
2,41.0,2885.9170509227797,2.0
3,41.0,2488.071329962026,3.0
4,41.0,2286.86133960445,4.0
5,41.0,2152.726753580228,5.0
6,41.0,2063.382205560913,6.0
7,41.0,2038.6302968696727,7.0
8,41.0,2038.630296869674,8.0
0,42.0,28851.95721934657,0.0
1,42.0,12152.213293785015,1.0
2,42.0,5437.018373965845,2.0
3,42.0,3567.4910625296934,3.0
4,42.0,2760.4342708012605,4.0
5,42.0,2515.7115654005615,5.0
6,42.0,2348.4744695084373,6.0
7,42.0,2176.4836348882877,7.0
8,42.0,2035.4242599568638,8.0
9,42.0,1982.5343004206468,9.0
10,42.0,1937.413907512868,10.0
11,42.0,1937.4139075128676,11.0
0,43.0,7784.931158684398,0.0
1,43.0,3735.673811094369,1.0
2,43.0,2853.7779640056624,2.0
3,43.0,2490.7313647702717,3.0
4,43.0,2245.2257895179287,4.0
5,43.0,2217.1795942016965,5.0
6,43.0,2201.99268521438,6.0
7,43.0,2201.9926852143813,7.0
0,44.0,9576.509636063165,0.0
1,44.0,4558.109307451937,1.0
2,44.0,3017.2380655882457,2.0
3,44.0,2455.691181778012,3.0
4,44.0,2249.9418089189253,4.0
5,44.0,2140.7589063107753,5.0
6,44.0,2103.2918582330135,6.0
7,44.0,2103.291858233014,7.0
0,45.0,12163.247837087973,0.0
1,45.0,6676.9075782463315,1.0
2,45.0,4716.631154689173,2.0
3,45.0,3805.1673413505728,3.0
4,45.0,3754.829228706534,4.0
5,45.0,3650.4089825590186,5.0
6,45.0,3562.9680934410294,6.0
7,45.0,3436.4009270673487,7.0
8,45.0,2962.651874848908,8.0
9,45.0,2748.315998794594,9.0
10,45.0,2336.4712345163193,10.0
11,45.0,1976.213944807079,11.0
12,45.0,1929.1411191120478,12.0
13,45.0,1886.0323010761222,13.0
14,45.0,1886.032301076123,14.0
0,46.0,14966.978755624794,0.0
1,46.0,8014.914053471026,1.0
2,46.0,4281.543419964213,2.0
3,46.0,3045.8734380086116,3.0
4,46.0,2856.8049091366906,4.0
5,46.0,2723.3872928886735,5.0
6,46.0,2723.3872928886753,6.0
0,47.0,37205.21234540868,0.0
1,47.0,10425.063364317395,1.0
2,47.0,4638.579433505993,2.0
3,47.0,3193.513368220416,3.0
4,47.0,2825.031354929266,4.0
5,47.0,2488.1214033130395,5.0
6,47.0,2231.2605816958658,6.0
7,47.0,2085.01690861725,7.0
8,47.0,2043.8461468959674,8.0
9,47.0,2023.082433888143,9.0
10,47.0,1992.7326221798603,10.0
11,47.0,1979.161927800491,11.0
12,47.0,1933.99811466692,12.0
13,47.0,1853.5872825562,13.0
14,47.0,1835.833463387205,14.0
15,47.0,1835.8334633872055,15.0
0,48.0,43584.31445856352,0.0
1,48.0,21235.05098969264,1.0
2,48.0,8039.212035339642,2.0
3,48.0,5570.718287337098,3.0
4,48.0,4272.237950311319,4.0
5,48.0,3403.6781733056328,5.0
6,48.0,2550.111446179481,6.0
7,48.0,2357.9857930482553,7.0
8,48.0,2289.292434521587,8.0
9,48.0,2138.314087487653,9.0
10,48.0,1983.1611028977788,10.0
11,48.0,1955.7809896758945,11.0
12,48.0,1910.2880766393425,12.0
13,48.0,1910.2880766393428,13.0
0,49.0,18672.281085129445,0.0
1,49.0,10396.998652634818,1.0
2,49.0,8401.473843413089,2.0
3,49.0,6948.769971875028,3.0
4,49.0,5537.037834317149,4.0
5,49.0,5074.493033166089,5.0
6,49.0,4447.839178466877,6.0
7,49.0,3882.8307340545657,7.0
8,49.0,3694.2592236437736,8.0
9,49.0,3544.1990517234776,9.0
10,49.0,3178.4942227546594,10.0
11,49.0,2999.011866137775,11.0
12,49.0,2529.010742286295,12.0
13,49.0,2145.0298618447096,13.0
14,49.0,2007.3905199685323,14.0
15,49.0,1924.1298163799638,15.0
16,49.0,1924.129816379963,16.0
0,50.0,46076.304463262706,0.0
1,50.0,17373.249470054077,1.0
2,50.0,8119.111502099253,2.0
3,50.0,3938.4755463293695,3.0
4,50.0,2757.5322348610575,4.0
5,50.0,2441.390142840634,5.0
6,50.0,2372.1510542163614,6.0
7,50.0,2343.489906755774,7.0
8,50.0,2233.2189334783166,8.0
9,50.0,2135.3097637620563,9.0
10,50.0,2049.1019930016105,10.0
11,50.0,2049.101993001611,11.0
0,51.0,19494.04574236102,0.0
1,51.0,9016.508957443979,1.0
2,51.0,4225.589635094134,2.0
3,51.0,3329.65571867169,3.0
4,51.0,3065.6799995823308,4.0
5,51.0,2874.942903682894,5.0
6,51.0,2669.295451806781,6.0
7,51.0,2504.3476773462567,7.0
8,51.0,2362.1173910230887,8.0
9,51.0,2362.1173910230896,9.0
0,52.0,26823.57029123354,0.0
1,52.0,8615.056784732858,1.0
2,52.0,5865.03057191137,2.0
3,52.0,5093.275278321102,3.0
4,52.0,3705.176682988025,4.0
5,52.0,2846.8356427570684,5.0
6,52.0,2368.8881234442974,6.0
7,52.0,2150.669485283578,7.0
8,52.0,2120.987747510425,8.0
9,52.0,2081.3194606108905,9.0
10,52.0,2011.0888147698624,10.0
11,52.0,1979.3252412398726,11.0
12,52.0,1979.3252412398708,12.0
0,53.0,25044.392815815838,0.0
1,53.0,11344.373492862507,1.0
2,53.0,7756.180655452407,2.0
3,53.0,6706.010042112702,3.0
4,53.0,4965.94502620397,4.0
5,53.0,3578.2142798572045,5.0
6,53.0,2970.589374975071,6.0
7,53.0,2449.122706591127,7.0
8,53.0,2317.274940760921,8.0
9,53.0,2317.2749407609203,9.0
0,54.0,35030.409751470106,0.0
1,54.0,12204.92898481841,1.0
2,54.0,5858.690026185869,2.0
3,54.0,4299.257530224127,3.0
4,54.0,3227.3241455983593,4.0
5,54.0,2652.693371533124,5.0
6,54.0,2423.867935579113,6.0
7,54.0,2391.395996227211,7.0
8,54.0,2370.262225142865,8.0
9,54.0,2370.262225142862,9.0
0,55.0,4632.054868010652,0.0
1,55.0,3444.352182418144,1.0
2,55.0,2980.959637383135,2.0
3,55.0,2805.4437765669686,3.0
4,55.0,2757.381411620455,4.0
5,55.0,2757.3814116204535,5.0
0,56.0,23781.19133104035,0.0
1,56.0,6714.415260817395,1.0
2,56.0,4718.146680539534,2.0
3,56.0,4092.4951530864055,3.0
4,56.0,3439.812797221079,4.0
5,56.0,3144.015449428086,5.0
6,56.0,2978.675989229743,6.0
7,56.0,2874.226159074896,7.0
8,56.0,2725.3766998400415,8.0
9,56.0,2685.871632118383,9.0
10,56.0,2685.8716321183842,10.0
0,57.0,6734.181189891596,0.0
1,57.0,3281.9211454801066,1.0
2,57.0,3089.139723412355,2.0
3,57.0,2895.277223518625,3.0
4,57.0,2823.9391042508983,4.0
5,57.0,2823.9391042508973,5.0
0,58.0,14454.290902494715,0.0
1,58.0,8117.701698803884,1.0
2,58.0,5135.882840627509,2.0
3,58.0,3354.901640884272,3.0
4,58.0,2718.5538030257226,4.0
5,58.0,2367.977125751267,5.0
6,58.0,2222.904663866159,6.0
7,58.0,2087.8559041500507,7.0
8,58.0,1998.1443116682071,8.0
9,58.0,1972.8702731686099,9.0
10,58.0,1945.0678975870082,10.0
11,58.0,1945.0678975870082,11.0
0,59.0,12165.929884715919,0.0
1,59.0,3684.21155568145,1.0
2,59.0,2351.396969851927,2.0
3,59.0,2104.1007648528935,3.0
4,59.0,2079.905071167533,4.0
5,59.0,2023.383805292602,5.0
6,59.0,1952.3782596943026,6.0
7,59.0,1877.1976141763976,7.0
8,59.0,1877.1976141763964,8.0
0,60.0,6505.847609317612,0.0
1,60.0,3700.1124850535234,1.0
2,60.0,2755.960681554416,2.0
3,60.0,2628.0149911096846,3.0
4,60.0,2544.3053857718073,4.0
5,60.0,2494.009348796359,5.0
6,60.0,2415.6515653461,6.0
7,60.0,2222.1269809403625,7.0
8,60.0,2194.8800285940288,8.0
9,60.0,2182.746053027307,9.0
10,60.0,2182.746053027304,10.0
0,61.0,20822.260331082718,0.0
1,61.0,10941.263572626644,1.0
2,61.0,5892.0860988946515,2.0
3,61.0,3291.9806596907465,3.0
4,61.0,2708.395144602746,4.0
5,61.0,2616.22678374112,5.0
6,61.0,2520.9011469977677,6.0
7,61.0,2470.1164733087717,7.0
8,61.0,2358.5966909854906,8.0
9,61.0,2228.593560026778,9.0
10,61.0,2143.214605932559,10.0
11,61.0,2092.9365791411533,11.0
12,61.0,2079.946056328342,12.0
13,61.0,2079.946056328341,13.0
0,62.0,26549.250743519646,0.0
1,62.0,6325.704586310167,1.0
2,62.0,3136.7420889708324,2.0
3,62.0,2469.6777124948735,3.0
4,62.0,2179.050525365949,4.0
5,62.0,2063.7402552929557,5.0
6,62.0,2063.7402552929557,6.0
0,63.0,9023.039839726165,0.0
1,63.0,7710.488255157412,1.0
2,63.0,5818.998871302197,2.0
3,63.0,3826.206223644377,3.0
4,63.0,2910.2931518363225,4.0
5,63.0,2535.311815387797,5.0
6,63.0,2261.6762005885207,6.0
7,63.0,2147.7344664545512,7.0
8,63.0,2050.2845272399636,8.0
9,63.0,1950.1074902254097,9.0
10,63.0,1877.1976141763973,10.0
11,63.0,1877.1976141763964,11.0
0,64.0,5529.148030300208,0.0
1,64.0,3086.9955967132787,1.0
2,64.0,2343.8127919791286,2.0
3,64.0,2061.260488601671,3.0
4,64.0,2000.541854351383,4.0
5,64.0,2000.5418543513833,5.0
0,65.0,10261.964653719588,0.0
1,65.0,4640.716283831251,1.0
2,65.0,3310.8478485049936,2.0
3,65.0,2861.3899040779825,3.0
4,65.0,2607.177553506216,4.0
5,65.0,2325.827124930684,5.0
6,65.0,2325.827124930686,6.0
0,66.0,13191.790323276502,0.0
1,66.0,6466.989752357762,1.0
2,66.0,4153.474944211185,2.0
3,66.0,3476.0324293802432,3.0
4,66.0,2965.517976147745,4.0
5,66.0,2561.385210885037,5.0
6,66.0,2391.395918617745,6.0
7,66.0,2277.983365650168,7.0
8,66.0,2154.5187732801505,8.0
9,66.0,2063.698512652116,9.0
10,66.0,2031.99525355537,10.0
11,66.0,2007.8206693279244,11.0
12,66.0,1953.507858617639,12.0
13,66.0,1902.0182810707354,13.0
14,66.0,1877.5160859894747,14.0
15,66.0,1877.516085989475,15.0
0,67.0,35032.69100832578,0.0
1,67.0,14998.305515611493,1.0
2,67.0,7767.20297637889,2.0
3,67.0,5045.741437482066,3.0
4,67.0,3939.1305995439716,4.0
5,67.0,3354.898369387544,5.0
6,67.0,3239.6264908310027,6.0
7,67.0,2981.494730639357,7.0
8,67.0,2590.6860208422504,8.0
9,67.0,2437.4039488221874,9.0
10,67.0,2312.155836408813,10.0
11,67.0,2056.7864053360463,11.0
12,67.0,2014.9231643529235,12.0
13,67.0,2001.2317727631957,13.0
14,67.0,2001.2317727631955,14.0
0,68.0,17915.67169590989,0.0
1,68.0,3893.0538181507923,1.0
2,68.0,2644.052056206147,2.0
3,68.0,2175.8144094385275,3.0
4,68.0,2058.650803552912,4.0
5,68.0,2037.9689197439263,5.0
6,68.0,2037.9689197439266,6.0
0,69.0,17754.255135746676,0.0
1,69.0,5017.769804036542,1.0
2,69.0,2749.8734074172035,2.0
3,69.0,2375.305618927026,3.0
4,69.0,2348.381837577368,4.0
5,69.0,2323.6313541853897,5.0
